DAY,AVG PASSENGER,TIME
WEEK DAY    ,1.6092551,0
WEEK DAY    ,1.5210718,10
WEEK DAY    ,1.5310671,11
WEEK DAY    ,1.5268165,12
WEEK DAY    ,1.5339569,13
WEEK DAY    ,1.5370361,14
WEEK DAY    ,1.5550467,15
WEEK DAY    ,1.5407917,16
WEEK DAY    ,1.5500637,17
WEEK DAY    ,1.5550544,18
WEEK DAY    ,1.5627884,19
WEEK DAY    ,1.6222332,1
WEEK DAY    ,1.5723299,20
WEEK DAY    ,1.5929313,21
WEEK DAY    ,1.6021478,22
WEEK DAY    ,1.602196,23
WEEK DAY    ,1.614394,2
WEEK DAY    ,1.6089348,3
WEEK DAY    ,1.5772513,4
WEEK DAY    ,1.490378,5
WEEK DAY    ,1.4477658,6
WEEK DAY    ,1.4975959,7
WEEK DAY    ,1.5137789,8
WEEK DAY    ,1.5059749,9
WEEK END  ,1.6525488,0
WEEK END  ,1.612357,10
WEEK END  ,1.6208408,11
WEEK END  ,1.6212745,12
WEEK END  ,1.6262145,13
WEEK END  ,1.6228908,14
WEEK END  ,1.628959,15
WEEK END  ,1.6190606,16
WEEK END  ,1.6294072,17
WEEK END  ,1.6383743,18
WEEK END  ,1.6443706,19
WEEK END  ,1.6523424,1
WEEK END  ,1.6529067,20
WEEK END  ,1.6613289,21
WEEK END  ,1.6569946,22
WEEK END  ,1.648603,23
WEEK END  ,1.6544992,2
WEEK END  ,1.6455975,3
WEEK END  ,1.6430926,4
WEEK END  ,1.5634203,5
WEEK END  ,1.5161208,6
WEEK END  ,1.5228257,7
WEEK END  ,1.560573,8
WEEK END  ,1.5843978,9
