DAY ,Average Distance ,Time
WEEK DAY      ,3.7519112,0
WEEK DAY    ,2.3750873,10
WEEK DAY    ,3.293499,11
WEEK DAY,2.567431,12
WEEK DAY  ,2.757104,13
WEEK DAY      ,2.7935665,14
WEEK DAY,2.698141,15
WEEK DAY      ,2.840093,16
WEEK DAY      ,2.5918934,17
WEEK DAY    ,2.5008154,18
WEEK DAY     ,2.6393435,19
WEEK DAY     ,3.5434418,1
WEEK DAY,2.9244776,20
WEEK DAY      ,3.1226294,21
WEEK DAY      ,3.2382889,22
WEEK DAY     ,3.4293368,23
WEEK DAY   ,3.3412757,2
WEEK DAY      ,3.675246,3
WEEK DAY    ,4.0588818,4
WEEK DAY      ,3.7191522,5
WEEK DAY      ,3.0397413,6
WEEK DAY      ,2.6338608,7
WEEK DAY    ,2.3231518,8
WEEK DAY    ,2.4251602,9
WEEK END,2.8450518,0
WEEK END      ,2.4868007,10
WEEK END   ,2.3124986,11
WEEK END      ,2.4682555,12
WEEK END    ,2.5196311,13
WEEK END ,2.6556716,14
WEEK END       ,3.1433053,15
WEEK END    ,2.8034174,16
WEEK END    ,2.734089,17
WEEK END    ,2.6320944,18
WEEK END      ,2.6993034,19
WEEK END,2.7661636,1
WEEK END      ,2.899732,20
WEEK END       ,3.0494297,21
WEEK END    ,3.1514516,22
WEEK END       ,3.2120457,23
WEEK END,2.743838,2
WEEK END,2.9743211,3
WEEK END,3.6848252,4
WEEK END,4.8901553,5
WEEK END,4.4416647,6
WEEK END,3.69653,7
WEEK END,2.9405792,8
WEEK END,2.577112,9
